,landscape,treatment,area,number_of_mounds,bs_mean_mound_density,bs_std_mound_density,mean_mound_height,std_mound_height,mound_density,low_rem_ratio,high_rem_ratio,veg_g1,veg_g3,veg_b13
16,L7,grazing,6099527.0,177.0,0.29516988184540455,0.08362031209092262,1.1641893979519775,0.47982973218658237,2.9018643576788825e-05,0.09720413543669142,0.10637844617840805,0.2893460670374014,0.0559993726094711,0.23334669442793032
17,L7,grazing,4175512.0,87.0,0.2136631475423978,0.10127282594355538,1.1600117299748562,0.39268554183498217,2.083576816447899e-05,0.09964245379669612,0.10495253585631377,0.4326770578379606,0.16251760609436744,0.2701594517435932
18,L7,private_reserve,34056193.0,2621.0,0.7777889276769563,0.2767064683943622,1.4022620119054732,0.5000736678330975,7.696103906857704e-05,0.10492058826684492,0.09638315753777392,0.22435838081795115,0.09267210054045975,0.13168628027749138
19,L8,agriculture,1120110.0,88.0,0.8603771902235718,0.1929938917806242,1.4413830987338363,0.514013558071752,7.856371249252306e-05,0.08140120260748902,0.06871991767232341,0.09377563533735522,0.04465635030080348,0.04911928503655174
20,L8,grazing,9709314.0,557.0,0.5909253348673753,0.23859044966500154,1.290093906477923,0.4687526808174857,5.7367595692136434e-05,0.07925089162739361,0.07206218946951902,0.5022369250806814,0.22521669599910973,0.27702022908157165
21,L8,grazing,6643831.0,309.0,0.45593141276135835,0.14800718127534987,1.229596184295358,0.4031448061483499,4.6509310667294215e-05,0.07851384603762972,0.07446614859938647,0.4548656595554773,0.2268441566553854,0.22802150290009188
22,L8,grazing,9661616.0,696.0,0.6867007775958994,0.3816063633258452,1.421997553324528,0.4691290199490238,7.203763842404832e-05,0.07903768543013255,0.07217147761555427,0.538650112807,0.30353871149521755,0.2351114013117825
23,L456,agriculture,2420520.0,86.0,0.3442152920894937,0.19174476074492838,1.2328104418377543,0.44816643853387717,3.552955563267397e-05,0.11215417891281856,0.10892332923513838,0.13332424437724125,0.07544825078908664,0.05787599358815461
24,L456,agriculture,470709.0,31.0,0.6355037137571783,0.05738416373684985,1.2262071178805443,0.4786808983876263,6.585809916530171e-05,0.11543662517058118,0.1085389730757202,0.06986694539513798,0.0458478592931089,0.024019086102029068
25,L456,grazing,940289.0,26.0,0.336149054843485,0.09584162971417831,1.4064554067758412,0.49586377327944053,2.765107323386746e-05,0.11544850939250051,0.10889829020528609,0.12326210345968101,0.040029182517289895,0.08323292094239111
26,L456,grazing,1807845.0,39.0,0.18121278642050298,0.11243583509734911,0.9369553786057693,0.2385953764972746,2.1572645885017798e-05,0.11661260181753766,0.10734065143547347,0.19149728804783644,0.05802693640961527,0.13347035163822116
27,L456,grazing,1062452.0,32.0,0.37621534361283226,0.11434770047626705,0.9691324234008789,0.23726165443903277,3.011900772929036e-05,0.11427963836838059,0.10894372371593214,0.06431830843359147,0.011597198300608565,0.05272111013298291
28,L456,private_reserve,31705032.0,1965.0,0.6087169706475515,0.22681579139878852,1.2736300265855833,0.4914068758168447,6.197754350161198e-05,0.10717318460767382,0.12444975289302239,0.37997044633181004,0.20440636925996594,0.17556407707184407
29,nwaswitshaka,kruger,302957535.0,18988.0,0.6196750745052694,0.3109152945743964,1.3172960144149128,0.46516743656403126,6.267545053797721e-05,0.09674649110188538,0.0665357034661521,0.2479060674106368,0.11944911591135221,0.1284569514992846
30,nwaswitshaka,kruger,57520360.0,1569.0,0.29156371966118666,0.1381438366782423,1.0938149107133954,0.40018765749799273,2.727729798631302e-05,0.09844783003048646,0.0757009032754035,0.26556978593085995,0.1287375158058115,0.13683227012504845
